L_space_fillings,name,census_knot,finite_fillings,longitude,non_L_space_fillings,thurston_norm,id
"[(-1, 0), (-3, -2), (-2, -3), (-1, -3), (-5, -1), (-1, -2), (-3, -1), (-4, -1)]",s500,False,"[(-1, 0)]","(1, -1)","[(-4, 1), (2, -3), (-5, 1), (-3, 1), (-3, 2), (1, -3), (1, -2)]",6,785
"[(1, 0), (2, -1)]",s501,False,"[(1, 0)]","(5, 4)",[],12,786
"[(3, -1), (2, -3), (-1, -4), (-1, -1), (2, -1), (-1, -2), (3, -2), (-2, -3), (-1, -3), (1, -3), (1, 0), (1, -2), (4, -1)]",s502,False,"[(-1, -1), (1, 0)]","(23, 4)","[(-4, -1), (-3, -2), (-3, -1), (-2, -1), (-4, -3)]",19,787
"[(-1, 0), (-4, -3), (-1, -1), (-1, -3), (-3, -2), (-2, -3), (-1, -2)]",s504,False,"[(-1, 0), (-1, -1)]","(12, -1)",[],14,788
"[(4, -3), (5, -2), (2, -3), (1, -1), (2, -1), (3, -1), (3, -2), (1, 0), (1, -2)]",s505,False,"[(1, -1), (1, 0)]","(10, 1)",[],12,789
"[(-3, -4), (-1, -3), (-1, -4), (-2, -3), (-1, -1), (1, 0), (4, -1)]",s507,False,"[(-1, -1), (1, 0)]","(37, 19)","[(-3, -2), (3, 1), (2, 1), (-4, -3), (4, 1)]",29,790
"[(3, -1), (2, -3), (2, -1), (3, -2), (1, -4), (0, -1), (1, -3), (1, 0), (1, -2), (4, -1)]",s508,False,"[(0, -1), (1, 0)]","(7, 32)","[(1, 3), (3, 4), (1, 4)]",29,791
"[(3, -2), (2, -3), (-1, 0), (-1, -4), (-3, -1), (-1, -3), (-2, -3), (-2, -1), (1, -3), (-3, -2), (-4, -1)]",s509,False,"[(-1, 0)]","(46, -17)","[(-3, 1), (-4, 1)]",31,792
"[(0, -1)]",s510,False,"[(0, -1)]","(35, -2)",[],23,793
"[(0, -1), (-2, -3), (-1, -4), (-1, -3), (1, -4), (-1, -2), (1, -3), (1, 0), (1, -2)]",s511,False,"[(0, -1), (1, 0)]","(37, 12)",[],29,794
"[(-5, -2), (-1, 0), (-4, -3), (-2, -3), (-1, -3), (-5, -1), (-3, -1), (-4, -1)]",s512,False,"[(-1, 0)]","(5, -7)","[(2, -3), (-3, 1), (-3, 2), (1, -3), (-4, 1), (1, -2)]",11,795
"[(1, -3), (2, -3), (-1, 0), (-3, -1), (-3, 2), (-2, 1), (-2, -3), (-3, 1), (3, -4), (-1, -3), (1, -4), (-4, 3), (-4, 1), (1, -2), (-3, -2), (0, -1)]",s513,False,"[(-1, 0), (0, -1)]","(1, -1)",[],5,796
"[(1, 0)]",s514,False,"[(1, 0)]","(17, 3)","[(5, -2), (5, -1), (2, -1), (3, -1), (6, -1), (4, -1)]",11,797
"[(2, -3), (-1, 0), (-1, -2), (3, -2), (-1, -3), (0, -1), (1, -3), (1, -2)]",s515,False,"[(-1, 0), (0, -1)]","(49, -3)",[],27,798
"[(1, 0)]",s516,False,"[(1, 0)]","(45, 31)",[],39,799
"[(-1, 1), (-1, 0), (-3, -2), (-1, -2), (-1, -3), (-2, -3), (-2, -1), (-3, -1), (-4, -1)]",s517,False,"[(-1, 1), (-1, 0)]","(9, -37)","[(-1, 3), (-1, 4)]",41,800
"[(3, -1), (2, -1), (2, -3), (3, -2), (-1, -4), (-2, -3), (-1, -3), (1, -4), (1, -3), (1, 0), (4, -1)]",s518,False,"[(1, 0)]","(16, 13)","[(3, 2), (3, 1), (4, 1)]",17,801
"[(1, 0)]",s519,False,"[(1, 0)]","(5, 1)","[(6, 1), (7, 1)]",3,802
"[(2, -3), (-1, 0), (2, -1), (3, -2), (3, -1), (1, -2)]",s520,False,"[(-1, 0)]","(21, -1)",[],11,803
"[(1, 0)]",s521,False,"[(1, 0)]","(1, 1)","[(3, 1), (4, 1), (2, 1)]",3,804
"[(3, -2), (-4, -1), (-3, -2), (-2, -3), (-3, -1), (-2, -1), (0, -1), (-1, 0)]",s522,False,"[(0, -1), (-1, 0)]","(57, -11)","[(3, -1), (4, -1)]",45,805
"[(-1, 0)]",s523,False,"[(-1, 0)]","(2, -1)","[(-3, 1), (-5, 1), (-4, 1), (-6, 1)]",4,806
"[(0, -1), (-1, 0)]",s524,False,"[(0, -1), (-1, 0)]","(25, -17)",[],21,807
"[(3, -1), (2, -1), (2, -3), (3, -2), (1, -4), (1, 0), (4, -1)]",s525,False,"[(1, 0)]","(17, 18)","[(3, 2), (3, 1), (-1, -4), (-1, -3), (-2, -3), (4, 1), (2, 1)]",25,808
"[(-1, 0)]",s526,'K6_23',"[(-1, 0)]","(11, -1)",[],5,809
"[(3, -2), (2, -3), (-5, -2), (-1, 0), (-3, -1), (-2, -1), (-3, -2), (-1, -3), (-2, -3), (-5, -1), (-1, -2), (-4, -3), (1, -3), (1, -2), (-4, -1)]",s527,False,"[(-1, 0)]","(5, -1)","[(3, -1), (4, -1)]",3,810
"[(-1, 0)]",s528,False,"[(-1, 0)]","(1, -3)","[(-1, 1), (-5, 1), (-4, -1), (-6, 1), (-3, -1), (-1, 2), (-2, 1), (-2, -3), (-3, 1), (-6, -1), (-3, 2), (-1, -3), (-5, -2), (-1, -2), (-4, 1), (-3, -2), (-5, -1)]",3,811
"[(-5, 1), (-1, 0), (-3, -1), (-2, -1), (-1, -3), (-3, -2), (-2, -3), (-1, -2), (-5, 2), (-4, -1)]",s529,False,"[(-1, 0)]","(9, -13)","[(2, -3), (-4, 3), (1, -3), (1, -2)]",17,812
"[(-1, 0), (-1, -4), (-3, -1), (-3, -2), (-3, 1), (-3, 2), (-4, 3), (-2, -1), (-4, 1), (-4, -1)]",s530,False,"[(-1, 0)]","(8, -19)","[(-2, 3), (-1, 2), (1, -3), (1, -4)]",21,813
