L_space_fillings,name,census_knot,finite_fillings,longitude,non_L_space_fillings,thurston_norm,id
"[(4, -3), (3, -2), (3, -1), (3, -4), (1, -4), (0, -1), (1, 0), (4, -1)]",v2736,False,"[(0, -1), (1, 0)]","(29, 31)","[(3, 2), (3, 1), (1, 1), (-1, -3), (2, 1), (-1, -2), (-2, -3)]",49,3874
[],v2737,False,[],"(7, -5)","[(-3, 1), (-2, 1), (-4, 1), (1, -1)]",9,3875
"[(5, -1), (4, -3), (2, -1), (2, -3), (3, -2), (3, -1), (3, -4), (1, -4), (1, -3), (1, -2), (4, -1)]",v2738,False,[],"(1, 2)","[(3, 2), (3, 1), (4, 1), (1, 1), (-1, -3), (2, 1)]",3,3876
"[(4, -3), (2, -3), (-1, 0), (-3, -1), (-1, -1), (2, -1), (-1, -2), (-2, -3), (-3, -2), (-1, -3), (1, -4), (-2, -1), (1, -3), (1, -2), (3, -2), (3, -4), (0, -1)]",v2739,False,"[(-1, 0), (0, -1)]","(11, -3)","[(5, -2), (-4, 1), (3, -1)]",7,3877
"[(-5, -1), (-5, -2), (-4, -3), (-3, -1), (-3, -2), (-4, -1)]",v2740,False,[],"(2, -15)","[(-2, 1), (-3, 1), (-2, 3), (-1, 2), (-1, 1), (-2, -3), (-1, 3), (-3, 2), (-1, -3), (-1, -2), (-4, 1)]",21,3878
"[(2, -3), (-1, 0), (-4, -3), (-1, -4), (-2, -3), (-1, -3), (1, -3), (1, -2), (-4, -1)]",v2741,False,"[(-1, 0)]","(45, -8)","[(3, -1), (2, -1), (3, -2), (4, -1)]",39,3879
"[(-5, -2), (-1, 0), (-1, -4), (-3, -2), (-2, -1), (-1, -3), (-2, -3), (-5, -1), (-1, -2), (-4, -3), (-3, -1), (-4, -1)]",v2742,False,"[(-1, 0)]","(25, -18)","[(2, -3), (1, -2), (-2, 1), (-3, 1), (-4, 1), (1, -3), (1, -1), (-3, 2)]",29,3880
"[(1, 0)]",v2743,'K7_100',"[(1, 0)]","(1, 1)","[(5, -1), (3, -2), (3, 2), (3, 1), (2, -1), (2, -3), (3, -1), (2, 1), (-1, -3), (5, 1), (4, 1), (4, -1), (-2, -3)]",1,3881
"[(0, -1), (-4, -1), (-3, -1), (-2, -1), (-1, -2), (-1, -3), (-3, -2), (-1, -1)]",v2744,False,[],"(1, -1)",[],1,3882
"[(1, 0)]",v2745,False,"[(1, 0)]","(95, 3)",[],59,3883
[],v2746,False,[],"(25, -2)","[(-2, -1)]",27,3884
"[(3, -2), (2, -3), (2, -1), (-2, -3), (-1, -4), (3, -1), (1, -4), (-1, -2), (1, -3), (1, 0), (1, -2), (4, -1), (-1, -3)]",v2747,False,"[(1, 0)]","(35, 19)","[(3, 1), (-3, -2), (4, 1), (2, 1)]",29,3885
"[(4, -3), (3, -1), (2, -3), (-1, -2), (2, -1), (3, -2), (-1, -3), (3, -4), (-2, -3), (1, -4), (-1, -1), (0, -1), (1, 0), (4, -1)]",v2748,False,"[(0, -1), (1, 0)]","(8, 1)","[(-4, -1), (-3, -1), (-2, -1), (-3, -2)]",7,3886
"[(4, -3), (3, -1), (-1, -2), (-1, -3), (3, -4), (-2, -3), (1, -4), (1, -3), (1, 0), (4, -1)]",v2749,False,"[(1, 0)]","(40, 9)","[(-4, -1), (-3, -1), (-3, -2), (-2, -1)]",35,3887
"[(4, -3), (0, -1), (2, -1), (2, -3), (3, -1), (3, -2), (1, -4), (1, -3), (1, -2), (4, -1)]",v2750,False,"[(0, -1)]","(15, 17)","[(3, 2), (3, 1), (-1, -3), (4, 1), (-1, -4), (2, 1), (-1, -2), (-2, -3)]",17,3888
"[(2, -3), (1, -2)]",v2752,False,[],"(5, -3)",[],5,3889
"[(-4, -1), (-3, -2), (-1, -2), (-1, -3), (-3, -1), (-5, -1), (-2, -1), (0, -1), (-1, 0)]",v2754,False,"[(-1, 0)]","(22, -17)","[(1, -3), (2, -3), (-5, 1), (1, -2), (-4, 1), (-5, 2), (1, -1), (-3, 2)]",23,3890
"[(-2, 1), (-4, -1), (-2, -1), (-1, 1), (-4, 3), (-3, 1), (-4, 1), (-3, -2), (-3, -1), (-3, 2)]",v2756,False,"[(-1, 1)]","(2, -11)","[(-2, 3), (-1, 3), (-1, 2), (-1, -3), (-2, -3), (-1, -2), (-1, 4), (-3, 4)]",13,3891
"[(1, 0)]",v2757,False,"[(1, 0)]","(7, 9)","[(5, -1), (3, -1), (2, -3), (1, -3), (3, 1), (3, 2), (3, -2), (1, 1), (-1, -3), (-2, -3), (-1, -2), (5, 1), (4, 1), (4, -1), (2, 1)]",11,3892
"[(2, -3), (-4, -1), (-3, -1), (-1, -2), (-1, -3), (-2, -3), (1, -4), (-2, -1), (1, -3), (1, -2), (-3, -2), (-1, 0)]",v2758,False,"[(-1, 0)]","(10, -7)","[(4, -3), (-5, 1), (-2, 1), (-3, 1), (-4, 1), (-5, 2), (-3, 2)]",9,3893
"[(-3, -4), (-5, -1), (-4, -1), (-3, -1), (1, -2), (2, -1), (3, -1), (4, -1), (-1, -4), (-1, -3), (3, -2), (-5, -2), (-2, -1), (-4, -3), (1, -3), (1, 0), (1, -1), (-3, -2), (-2, -3)]",v2759,'K7_101',"[(1, 0)]","(69, 1)",[],53,3894
"[(0, -1), (-1, 0)]",v2760,False,"[(0, -1), (-1, 0)]","(6, -7)",[],16,3895
"[(-3, -4), (-5, -1), (-4, -1), (-1, -4), (-3, -1), (1, -2), (2, -1), (3, -1), (-3, -2), (3, -2), (-5, -2), (-2, -1), (-4, -3), (1, -3), (1, 0), (1, -1), (4, -1)]",v2761,False,"[(1, 0)]","(15, 1)",[],20,3896
"[(4, -3), (2, -3), (-4, -1), (-3, -2), (-2, -1), (-1, -2), (-2, -3), (-3, -1), (3, -4), (-1, -3), (1, -4), (-1, -1), (-1, 0), (1, -3), (1, -2), (0, -1)]",v2763,False,"[(-1, 0), (0, -1)]","(71, -12)","[(5, -2), (5, -1)]",51,3897
"[(-5, -2), (-4, -1), (-3, -1), (-3, -2), (-5, -1), (-2, -1)]",v2764,False,[],"(1, -6)",[],9,3898
"[(-3, -4), (-4, -1), (-1, -4), (-3, -1), (0, -1), (-1, -3), (-3, 1), (-2, -3), (-2, 1), (-4, -3), (-3, -2)]",v2765,False,"[(0, -1)]","(43, -36)","[(2, -3), (-3, 2), (1, -3), (1, -2)]",49,3899
[],v2766,False,[],"(31, 3)",[],21,3900
"[(-1, 1)]",v2767,False,"[(-1, 1)]","(4, -13)",[],15,3901
"[(0, -1), (-1, 0)]",v2768,False,"[(0, -1), (-1, 0)]","(61, -53)",[],57,3902
"[(1, 0)]",v2769,False,"[(1, 0)]","(67, 58)",[],63,3903
"[(-1, 0)]",v2770,False,"[(-1, 0)]","(15, -11)","[(2, -3), (-5, 1), (-3, -1), (-4, -1), (-3, -2), (1, -1), (-2, 1), (-1, -3), (-3, 1), (-4, 1), (-2, -3), (-5, -1), (1, -3), (-4, -3), (-3, 2), (1, -2), (-5, -2)]",17,3904
"[(-1, 0)]",v2771,False,"[(-1, 0)]","(4, -1)","[(3, -2), (2, -3), (-3, -2), (2, -1), (3, -1), (-3, -1), (-2, -3), (-1, -3), (-2, -1), (1, -3)]",5,3905
"[(2, -3), (-4, -1), (-1, -4), (-3, -2), (-2, -1), (-1, -3), (-2, -3), (1, -4), (-1, -2), (1, -3), (1, -2), (-3, -1), (-1, 0)]",v2772,False,"[(-1, 0)]","(21, -17)","[(-2, 1), (-3, 1), (-4, 1), (-3, 2)]",19,3906
"[(3, -1), (2, -3), (1, -1), (2, -1), (1, -2), (3, -2), (1, -3), (1, 0), (4, -1)]",v2774,False,"[(1, 0)]","(32, 31)","[(3, 1), (3, 2), (-1, -3), (-1, -4), (4, 1), (4, 3), (-1, -2), (5, 1), (5, 2), (-2, -3)]",45,3907
"[(2, -3), (-4, -1), (-3, -2), (1, -2), (2, -1), (-1, 0), (-1, -2), (-3, -1), (-1, -3), (3, -2), (-5, -1), (-2, -1), (1, -3), (1, -1), (-2, -3)]",v2775,False,"[(-1, 0)]","(41, -11)","[(5, -2), (3, -1), (-4, 1)]",21,3908
"[(3, -2), (2, -3), (3, 1), (1, -2), (2, -1), (3, 2), (3, -1), (1, -4), (1, -3), (1, 0), (4, 1), (4, -1)]",v2776,False,"[(1, 0)]","(1, 11)","[(1, 2), (1, 3), (2, 3), (1, 4)]",11,3909
"[(1, 0)]",v2777,False,"[(1, 0)]","(2, 1)",[],4,3910
"[(1, -2)]",v2778,False,[],"(81, 10)",[],59,3911
"[(-1, 0), (-3, -2), (-1, -3), (1, -2), (2, -3), (-3, -1), (3, -4), (-1, -1), (1, -3), (-2, -1), (-2, -3), (1, -4), (-4, -1), (-1, -2), (0, -1)]",v2780,False,"[(-1, 0), (0, -1)]","(32, -13)","[(4, -3), (-5, 1), (2, -1), (-3, 1), (3, -2), (-4, 1), (-5, 2)]",23,3912
"[(4, -3), (3, -1), (3, 2), (3, 1), (2, 1), (3, -4), (1, -4), (1, -3), (1, -1), (4, -1)]",v2782,False,"[(1, -1)]","(3, 4)","[(-2, -3), (-1, -3), (-1, -2)]",10,3913
"[(-5, -1), (-1, 0), (-3, -1), (-1, -3), (-2, -3), (-5, -2), (-1, -2), (-4, -3), (-3, -2), (-4, -1)]",v2783,False,"[(-1, 0)]","(23, -18)","[(1, -3), (2, -3), (-3, 1), (-3, 2), (-4, 1)]",31,3914
"[(5, -1), (4, -3), (2, -3), (2, -1), (3, -2), (3, -1), (1, -4), (1, -3), (1, 0), (1, -2), (4, -1)]",v2784,False,"[(1, 0)]","(1, 1)","[(4, 1)]",1,3915
"[(1, 0)]",v2785,False,"[(1, 0)]","(0, 1)",[],1,3916
"[(5, -1), (-4, -1), (-3, -1), (2, -1), (3, -2), (3, -1), (-5, -1), (4, -1), (-1, 0)]",v2786,False,"[(-1, 0)]","(16, -1)",[],11,3917
"[(-4, -1), (-3, -1), (-2, -1), (-1, -3), (-2, -3), (-3, -2)]",v2787,False,[],"(1, -1)","[(-2, 1)]",2,3918
[],v2789,False,[],"(1, -2)","[(-2, 3), (-2, 1), (-5, 1), (-4, -1), (-3, -2), (-1, -2), (-2, -3), (-3, 1), (-4, 1), (-1, -3), (-5, -1), (-2, -1), (1, -3), (-3, -1), (-3, 2)]",4,3919
"[(0, -1)]",v2790,False,"[(0, -1)]","(32, 3)",[],23,3920
[],v2791,False,[],"(2, 5)","[(1, 2), (2, 1)]",5,3921
"[(5, -1), (1, 0), (4, -1)]",v2793,False,"[(1, 0)]","(32, 17)","[(-3, -2), (3, 1), (2, 1), (-2, -3), (5, 1), (4, 1)]",35,3922
"[(2, -3), (-4, -1), (2, -1), (3, -2), (3, -1), (-5, -1), (1, -3), (1, -2)]",v2794,False,[],"(6, -1)","[(5, -1), (4, -1)]",3,3923
"[(0, -1), (-1, 0), (-2, -1), (-1, -2), (-4, 3), (-1, -3), (-4, 1), (-2, -3), (-1, -1), (-3, -2), (-3, -1)]",v2795,False,"[(0, -1), (-1, 0)]","(2, -9)","[(-1, 3), (-1, 2), (-2, 3), (-1, 4), (-3, 4)]",16,3924
"[(0, -1), (2, -3), (-1, -2), (2, -1), (3, -1), (4, -1), (-1, -4), (-1, -3), (3, -2), (1, -4), (-1, -1), (1, -3), (1, 0), (1, -2), (-2, -3)]",v2796,False,"[(0, -1), (1, 0)]","(4, 1)","[(-3, -2), (-2, -1), (-3, -1)]",3,3925
"[(0, -1), (-2, 1), (-1, 0), (-3, -1), (-2, -1), (-1, 1), (-1, -3), (-1, -1), (-3, 1), (-4, 3), (-4, 1), (-2, -3), (-1, -2), (-3, -2), (-3, 2)]",v2797,False,"[(0, -1), (-1, 0), (-1, 1)]","(3, -4)","[(2, -3), (1, -4), (1, -3), (1, -2)]",3,3926
"[(-1, -1), (0, -1), (1, 0)]",v2798,False,"[(0, -1), (1, 0)]","(71, 31)","[(-3, -2), (3, 1), (-2, -1), (4, 1)]",69,3927
"[(-1, 0), (-1, -1)]",v2799,False,"[(-1, 0), (-1, -1)]","(3, -32)",[],41,3928
"[(-1, -2)]",v2800,False,[],"(89, -10)",[],63,3929
"[(2, -3), (-1, 0), (-3, -2), (-1, -2), (-1, -1), (-1, -3), (-3, -1), (-2, -3), (-5, -1), (-2, -1), (1, -3), (-4, -1)]",v2801,False,"[(-1, 0)]","(55, -3)",[],33,3930
"[(2, -3), (3, 1), (1, -2), (2, -1), (3, 2), (3, -1), (2, 1), (3, -2), (1, -4), (1, -3), (1, 0), (4, 1), (4, -1)]",v2802,False,"[(1, 0)]","(24, 37)","[(-1, -4), (2, 3), (-1, -2), (-1, -3)]",35,3931
"[(2, -1), (3, -1), (-2, -1), (0, -1), (1, 0), (4, -1)]",v2803,False,"[(0, -1), (1, 0)]","(76, 11)","[(-4, -1), (-3, -1)]",69,3932
"[(4, -3), (3, -1), (2, -3), (-1, -4), (3, -2), (-2, -3), (-1, -3), (1, -4), (-1, -2), (1, -3), (4, -1)]",v2804,False,[],"(33, 5)","[(-4, -1), (-3, -2), (-2, -1), (-3, -1)]",35,3933
"[(-3, -4), (-1, 0), (1, -2), (2, -3), (-1, -4), (-1, -3), (-2, -3), (1, -3), (0, -1), (1, -1)]",v2805,False,"[(-1, 0), (0, -1)]","(16, -3)","[(3, -1), (3, -2), (4, -1)]",28,3934
"[(5, -1), (2, -3), (2, -1), (4, -3), (3, -1), (1, -4), (1, -3), (1, 0), (3, -2), (1, -2), (4, -1), (3, -4)]",v2806,False,"[(1, 0)]","(3, 14)","[(1, 2), (4, 1), (3, 1), (1, 3), (2, 3), (2, 1)]",15,3935
"[(5, -1), (5, -2), (2, -3), (2, -1), (3, -2), (3, -1), (4, -3), (1, -3), (1, 0), (1, -2), (4, -1)]",v2807,False,"[(1, 0)]","(1, 1)","[(4, 1)]",1,3936
[],v2808,False,[],"(1, -1)",[],1,3937
"[(-4, 1), (-2, 1), (-1, 0), (-1, -4), (-1, -3), (-3, 1), (-3, 2), (-4, -1)]",v2812,False,"[(-1, 0)]","(12, -17)","[(2, -3), (1, -3), (1, -2)]",21,3938
"[(5, -1), (4, -3), (2, -3), (-3, -1), (2, -1), (-2, -1), (-2, -3), (-3, -2), (-1, -3), (3, -2), (3, -1), (1, -4), (-1, -2), (1, -3), (1, 0), (1, -2), (4, -1)]",v2813,False,"[(1, 0)]","(33, 4)","[(-4, -1)]",21,3939
"[(0, -1), (1, 0)]",v2814,False,"[(0, -1), (1, 0)]","(21, 32)",[],35,3940
[],v2815,False,[],"(1, -2)","[(-3, 1), (-4, 1)]",5,3941
"[(2, -3), (-4, -1), (-3, -1), (-2, -1), (-1, 0), (-3, -2), (-1, -3), (-2, -3), (1, -4), (-1, -2), (1, -3), (1, -2), (3, -4), (0, -1)]",v2816,False,"[(-1, 0), (0, -1)]","(64, -21)","[(5, -2), (4, -3), (-5, 1), (3, -1), (-4, 1), (3, -2)]",55,3942
"[(5, -1), (5, -2), (2, -3), (-5, -1), (-4, -1), (-3, -1), (-2, -1), (2, -1), (-1, -2), (3, -2), (6, -1), (-3, -2), (-1, -3), (3, -1), (-2, -3), (4, -3), (-1, -1), (1, -3), (1, -2), (4, -1)]",v2817,False,[],"(1, 0)",[],3,3943
"[(-3, -1), (1, 0), (-2, -1)]",v2818,False,"[(1, 0)]","(27, 1)",[],17,3944
"[(0, -1), (2, -3), (-4, -1), (-3, -1), (1, -2), (2, -1), (-1, 0), (3, -1), (-1, -4), (-1, -3), (3, -2), (1, -4), (-2, -1), (1, -3), (-3, -2), (-2, -3)]",v2819,False,"[(0, -1), (-1, 0)]","(71, -13)","[(4, -1)]",49,3945
"[(1, -2)]",v2820,False,[],"(5, 13)",[],15,3946
[],v2822,False,[],"(5, 8)","[(3, 1), (1, 1), (2, 1)]",9,3947
"[(-4, -1), (-3, -1), (-2, -1), (-1, 0)]",v2823,False,"[(-1, 0)]","(24, -7)","[(2, -1), (3, -1), (-4, 1)]",21,3948
"[(5, -1), (1, -3), (2, -3), (-1, -1), (2, -1), (-1, -2), (3, -1), (-3, -2), (-2, -3), (3, -2), (-2, -1), (1, 0), (1, -2), (4, -1), (-1, -3)]",v2824,False,"[(1, 0)]","(46, 13)","[(4, 1), (-3, -1), (5, 1)]",27,3949
"[(5, -1), (2, -3), (-1, 0), (1, -2), (2, -1), (3, -2), (3, -1), (1, -3), (1, -1), (4, -1)]",v2825,False,"[(-1, 0)]","(30, -1)",[],17,3950
"[(-3, -2), (-2, -1)]",v2826,False,[],"(3, -10)",[],13,3951
[],v2827,False,[],"(1, 0)","[(-3, -2), (-3, -1), (-4, -1), (-2, -1)]",5,3952
"[(0, -1), (2, -3), (-3, -2), (1, -2), (2, -1), (-3, -4), (3, -2), (4, -1), (-1, -4), (-1, -3), (3, -1), (-1, -2), (-4, -3), (1, -3), (1, 0), (1, -1), (-2, -3)]",v2828,False,"[(0, -1), (1, 0)]","(68, 9)","[(-5, -2), (-4, -1), (-5, -1), (-3, -1)]",55,3953
"[(4, -3), (2, -3), (-1, 0), (-3, -2), (-1, -2), (-1, -3), (-1, -1), (1, -3), (1, -2)]",v2829,False,"[(-1, 0)]","(22, -1)",[],26,3954
"[(4, -3), (2, -3), (2, -1), (3, -1), (-2, -3), (3, -2), (1, -4), (-1, -2), (1, -3), (1, 0), (1, -2), (4, -1), (-1, -3)]",v2831,False,"[(1, 0)]","(36, 1)","[(-4, -1), (-3, -1), (-2, -1), (-3, -2)]",35,3955
"[(-3, -4), (-1, -4), (2, -1), (-1, -1), (3, -1), (-2, -3), (0, -1)]",v2832,False,"[(-1, -1), (0, -1)]","(11, 3)","[(-4, -3), (4, 1), (-3, -2), (-2, -1), (-3, -1)]",18,3956
"[(-5, -2), (-3, -4), (-4, -1), (-2, -1), (-3, -1), (-2, -3), (-5, -1), (-1, -2), (-4, -3), (-3, -2)]",v2833,False,[],"(1, -11)","[(-1, 1), (-3, 1), (-1, 3), (-1, 2), (-2, 1), (-1, -4), (-3, 2), (-1, -3), (-4, 1)]",13,3957
"[(-2, -1)]",v2834,False,[],"(7, 1)","[(-3, -1)]",5,3958
[],v2835,False,[],"(107, -6)",[],69,3959
[],v2836,False,[],"(1, -6)","[(-5, 1), (-4, -1), (-3, 1), (-2, 3), (-1, 2), (-1, -2), (-3, -1), (-1, 3), (-2, -3), (-4, 1), (-4, 3), (-2, -1), (-3, 2), (-5, 2), (-3, -2), (-1, -3)]",11,3960
"[(1, 0)]",v2838,False,"[(1, 0)]","(23, 22)",[],35,3961
"[(0, -1), (-3, -1), (-2, -1), (-1, -2), (-2, -3), (-1, -3), (-1, -1), (-3, -2)]",v2840,False,"[(0, -1)]","(16, -15)","[(2, -3), (-3, 2), (-3, 1), (-4, 1), (-4, 3), (1, -4), (1, -3), (-5, 2), (1, -2), (3, -4)]",23,3962
"[(2, -3), (-1, -2), (2, -1), (-1, -1), (3, -1), (1, -2), (-1, -4), (-1, -3), (3, -2), (1, -4), (1, -3), (4, -1), (-2, -3)]",v2841,False,"[(-1, -1)]","(14, 3)","[(-4, -1), (-3, -2), (-2, -1), (-4, -3), (-3, -1)]",15,3963
"[(5, -1), (3, -2), (2, -3), (-1, 0), (-3, -2), (2, -1), (-2, -3), (-3, -1), (3, -1), (-5, -1), (-2, -1), (1, -3), (4, -1), (-4, -1)]",v2842,False,"[(-1, 0)]","(19, -1)",[],13,3964
"[(-1, 0)]",v2843,False,"[(-1, 0)]","(2, -7)","[(-2, 3), (-2, 1), (-1, 3), (-1, 2), (-1, 1), (-3, 1), (-3, 2)]",9,3965
[],v2844,False,[],"(2, 29)",[],33,3966
[],v2845,False,[],"(109, -6)",[],73,3967
"[(2, -3), (-4, -1), (-3, -2), (-1, -1), (-1, -2), (1, -1), (-1, -3), (1, -4), (-2, -1), (1, -3), (1, -2), (-3, -1), (3, -4), (-1, 0)]",v2846,False,"[(1, -1), (-1, 0)]","(20, -11)","[(4, -3), (-2, 1), (3, -2), (-3, 1), (-4, 1)]",19,3968
"[(0, -1), (-2, 1), (-4, -1), (-3, 1), (-3, -2), (-1, -3), (-1, -4), (-4, 1), (-2, -3), (1, -4), (-1, -2), (1, -3), (1, -2), (-1, 0)]",v2848,False,"[(0, -1), (-1, 0)]","(59, -64)","[(-1, 1), (-3, 2), (2, -3)]",69,3969
[],v2849,False,[],"(4, 5)","[(3, 1), (2, 1)]",7,3970
"[(2, -3), (-1, -4), (-1, -3), (-2, -3), (1, -4), (1, -3)]",v2850,False,[],"(8, -1)","[(3, -2), (-4, -1), (-3, -2), (2, -1), (3, -1), (-3, -1), (-2, -1), (-4, -3), (4, -1)]",9,3971
"[(1, 0)]",v2851,'K7_102',"[(1, 0)]","(27, 1)","[(5, -1), (5, -2), (-5, -2), (-4, -1), (-3, -1), (-2, -1), (2, -1), (-1, -1), (3, -1), (6, -1), (-3, -2), (-6, -1), (3, -2), (-5, -1), (-1, -2), (0, -1), (1, -2), (4, -1)]",15,3972
"[(2, -3), (-1, 0), (-4, -3), (-1, -2), (-1, -3), (-2, -3), (0, -1), (1, -3), (1, -2)]",v2852,False,"[(-1, 0), (0, -1)]","(23, -1)",[],28,3973
"[(-4, -1), (-3, -1), (-2, -1), (-2, -3), (-1, -3), (-5, -1), (-1, -2), (-3, -2), (-1, 0)]",v2855,False,"[(-1, 0)]","(19, -23)","[(-2, 1), (2, -3), (-4, 3), (-3, 1), (-4, 1), (1, -3), (1, -2), (-3, 2)]",31,3974
"[(-4, -1), (-3, -1), (2, -1), (3, -2), (-2, -1), (-1, 0)]",v2856,False,"[(-1, 0)]","(45, -7)","[(5, -2), (3, -1), (4, -1)]",35,3975
"[(0, -1), (2, -3), (-4, -1), (-3, -1), (1, -2), (2, -1), (-2, -1), (3, -1), (-1, -4), (-2, -3), (3, -2), (-5, -1), (-1, -2), (-4, -3), (1, -3), (1, 0), (-3, -2), (4, -1), (-1, -3)]",v2857,False,"[(0, -1), (1, 0)]","(71, 4)",[],47,3976
"[(-1, 0)]",v2858,'K7_103',"[(-1, 0)]","(12, -1)","[(5, -2), (5, -1), (-4, -1), (3, -1), (6, -1), (7, -1), (-6, -1), (-5, -1), (4, -1)]",5,3977
"[(0, -1), (3, 2), (1, -2), (3, 1), (2, -3), (3, -1), (2, 1), (3, -2), (1, -4), (1, -3), (1, 0), (4, 1), (4, -1)]",v2859,False,"[(0, -1), (1, 0)]","(47, 49)","[(-2, -3), (-1, -4), (-1, -2), (-1, -3)]",53,3978
"[(1, 0)]",v2861,'K7_104',"[(1, 0)]","(0, 1)","[(2, -1), (1, -1), (2, 1)]",1,3979
"[(2, -1), (3, -1), (1, 0), (4, -1)]",v2862,False,"[(1, 0)]","(1, 1)","[(2, 1)]",1,3980
"[(4, -3), (3, -2), (2, -3), (3, 1), (4, 1), (2, -1), (4, -1), (2, 1), (3, -4), (3, -1), (1, -4), (1, -3), (1, 0), (1, -2)]",v2864,False,"[(1, 0)]","(32, 39)","[(3, 2), (-2, -3), (-1, -2), (1, 1), (-1, -3)]",49,3981
"[(-4, -1), (-3, -1), (-3, -2), (-5, -2), (-1, -1), (-4, -3)]",v2865,False,"[(-1, -1)]","(23, -3)",[],25,3982
"[(5, -1), (2, -3), (-5, -1), (-4, -1), (-3, -2), (1, -2), (2, -1), (-1, -2), (3, -2), (-3, -1), (-2, -3), (3, -1), (-5, -2), (-2, -1), (1, -3), (1, 0), (1, -1), (4, -1), (-1, -3)]",v2866,False,"[(1, 0)]","(43, 2)",[],27,3983
"[(-4, -1), (-3, -1), (-1, 0)]",v2867,False,"[(-1, 0)]","(43, -22)","[(2, -3), (-5, 1), (3, -2), (-3, 1), (-4, 1), (1, -3)]",43,3984
"[(2, -3), (-1, 0), (-3, 1), (-4, 1), (1, -2)]",v2868,False,"[(-1, 0)]","(80, -43)","[(4, -3), (-2, 1), (3, -2), (-5, 2)]",51,3985
"[(-1, 0)]",v2869,'K7_105',"[(-1, 0)]","(3, -1)","[(2, -3), (-5, 1), (-3, -2), (2, -1), (3, -2), (-3, -1), (-4, 1), (-5, -1), (-4, -3), (1, -3), (-5, -2), (-4, -1)]",5,3986
"[(5, -2), (-4, -1), (-3, -1), (2, -1), (3, -1), (-2, -3), (-3, -2), (3, -2), (-1, -3), (4, -3), (-2, -1)]",v2870,False,[],"(21, -2)","[(5, -1), (4, -1)]",15,3987
"[(4, -3), (5, -1), (2, -3), (-4, -1), (-3, -1), (-1, -2), (2, -1), (5, -2), (-2, -1), (-1, -3), (-3, -2), (3, -2), (3, -1), (-1, -1), (1, -3), (1, -2), (4, -1), (-1, 0)]",v2871,'K7_106',"[(-1, 0)]","(23, -1)",[],15,3988
"[(5, -2), (5, -1), (2, -1), (1, -2), (2, -3), (4, -1), (3, -1), (4, -3), (1, -3), (1, 0), (3, -2)]",v2872,False,"[(1, 0)]","(7, 9)","[(3, 2), (-2, -3), (-1, -3), (2, 1), (-1, -2), (1, 1)]",11,3989
[],v2873,False,[],"(1, 0)","[(5, -1), (3, -1), (2, -3), (-5, -2), (-4, -1), (-3, -2), (-1, -1), (2, -1), (-1, -2), (3, -2), (-3, -1), (-1, -3), (-2, -3), (-5, -1), (-2, -1), (1, -3), (1, -2), (4, -1)]",4,3990
[],v2874,False,[],"(0, 1)","[(2, 1), (2, -1), (1, 1)]",2,3991
"[(-4, -1), (-2, -1), (-3, -1), (-1, -1), (-1, -3), (-2, -3), (-1, -2), (-3, -2)]",v2875,False,[],"(2, -5)","[(-2, 1), (-1, 1)]",5,3992
"[(2, -3), (-4, -1), (1, -3), (-3, -2), (-1, -1), (-2, -3), (-3, -1), (-1, -3), (-5, -1), (-1, -2), (0, -1), (1, -2), (-1, 0)]",v2876,False,"[(-1, 0)]","(10, -1)","[(5, -1), (3, -1), (2, -1), (3, -2), (4, -1)]",9,3993
"[(1, 0)]",v2877,False,"[(1, 0)]","(2, 5)","[(5, -1), (3, 2), (4, 1), (7, 1), (1, -2), (6, 1), (3, 1), (5, -2), (1, 1), (2, 1), (3, -1), (1, -1), (0, -1), (5, 1), (4, -1), (5, 2), (3, -2)]",9,3994
"[(5, -1), (4, -3), (2, -3), (-4, -1), (-3, -2), (-1, -2), (2, -1), (5, -2), (-1, -1), (3, -1), (-3, -1), (-1, -3), (3, -2), (-2, -1), (1, -3), (1, 0), (1, -2), (4, -1)]",v2878,False,"[(1, 0)]","(18, 1)",[],11,3995
"[(-1, 0), (-3, -1), (-2, -1), (-1, -1), (-2, -3), (-3, -2), (-1, -3), (1, -4), (-1, -2), (1, -3)]",v2879,False,"[(-1, 0)]","(35, -6)",[],25,3996
"[(-1, 1), (-1, 0), (-1, -4), (-3, -2), (0, -1), (-2, -3), (-3, 2), (-1, -3), (-1, -2)]",v2881,False,"[(-1, 0), (0, -1)]","(13, -23)","[(-2, 3), (1, -4), (1, -3), (1, -2)]",23,3997
"[(-1, 0)]",v2882,False,"[(-1, 0)]","(3, -2)",[],11,3998
"[(5, -2), (3, -1), (3, -2), (0, -1), (1, 0), (4, -1)]",v2883,False,"[(0, -1), (1, 0)]","(17, 13)","[(3, 1), (2, 1)]",27,3999
"[(0, -1), (-2, 1), (-1, 1), (-1, 0)]",v2884,False,"[(0, -1), (-1, 0)]","(17, -22)","[(1, -2)]",23,4000
"[(1, -3), (2, -3), (1, -2), (1, 0), (1, -4)]",v2885,False,"[(1, 0)]","(32, 55)",[],61,4001
"[(2, -3), (1, -1), (-1, -2), (-2, -3), (3, -4), (1, -4), (1, -3), (1, -2), (-1, -3)]",v2886,False,"[(1, -1)]","(11, -2)","[(4, -3), (-4, -1), (-3, -2), (2, -1), (3, -1), (-3, -1), (3, -2), (-2, -1), (4, -1)]",13,4002
[],v2887,False,[],"(69, 40)",[],75,4003
